sa,naics_sector,series,geo,year,month,applications,year_month,value_smoothed
U,TOTAL,BA_BA,US,2025,January,497030,2025-01-01,
A,TOTAL,BA_BA,US,2025,January,393232,2025-01-01,
U,TOTAL,BA_BA,US,2024,January,577568,2024-01-01,489276.6666666667
A,TOTAL,BA_BA,US,2024,January,453575,2024-01-01,474791.6666666667
U,TOTAL,BA_BA,US,2023,January,441031,2023-01-01,490724.6666666667
A,TOTAL,BA_BA,US,2023,January,427394,2023-01-01,440666.6666666667
U,TOTAL,BA_BA,US,2022,January,449058,2022-01-01,439161.0
A,TOTAL,BA_BA,US,2022,January,436130,2022-01-01,437527.3333333333
U,TOTAL,BA_BA,US,2021,January,501488,2021-01-01,462225.3333333333
A,TOTAL,BA_BA,US,2021,January,488131,2021-01-01,475249.6666666667
U,TOTAL,BA_BA,US,2020,January,362175,2020-01-01,450598.0
A,TOTAL,BA_BA,US,2020,January,282444,2020-01-01,377583.3333333333
U,TOTAL,BA_BA,US,2019,January,354756,2019-01-01,333125.0
A,TOTAL,BA_BA,US,2019,January,275966,2019-01-01,304388.6666666667
U,TOTAL,BA_BA,US,2018,January,304316,2018-01-01,311679.3333333333
A,TOTAL,BA_BA,US,2018,January,295584,2018-01-01,291955.3333333333
U,TOTAL,BA_BA,US,2017,January,270066,2017-01-01,289988.6666666667
A,TOTAL,BA_BA,US,2017,January,262233,2017-01-01,275961.0
U,TOTAL,BA_BA,US,2016,January,265430,2016-01-01,265909.6666666667
A,TOTAL,BA_BA,US,2016,January,258819,2016-01-01,262160.6666666667
U,TOTAL,BA_BA,US,2015,January,258765,2015-01-01,261004.66666666666
A,TOTAL,BA_BA,US,2015,January,255076,2015-01-01,257553.33333333334
U,TOTAL,BA_BA,US,2014,January,261130,2014-01-01,258323.66666666666
A,TOTAL,BA_BA,US,2014,January,209170,2014-01-01,241792.0
U,TOTAL,BA_BA,US,2013,January,269076,2013-01-01,246458.66666666666
A,TOTAL,BA_BA,US,2013,January,219469,2013-01-01,232571.66666666666
U,TOTAL,BA_BA,US,2012,January,177963,2012-01-01,222169.33333333334
A,TOTAL,BA_BA,US,2012,January,184968,2012-01-01,194133.33333333334
U,TOTAL,BA_BA,US,2011,January,207571,2011-01-01,190167.33333333334
A,TOTAL,BA_BA,US,2011,January,220124,2011-01-01,204221.0
U,TOTAL,BA_BA,US,2010,January,186712,2010-01-01,204802.33333333334
A,TOTAL,BA_BA,US,2010,January,201825,2010-01-01,202887.0
U,TOTAL,BA_BA,US,2009,January,188786,2009-01-01,192441.0
A,TOTAL,BA_BA,US,2009,January,208348,2009-01-01,199653.0
U,TOTAL,BA_BA,US,2008,January,186063,2008-01-01,194399.0
A,TOTAL,BA_BA,US,2008,January,208848,2008-01-01,201086.33333333334
U,TOTAL,BA_BA,US,2007,January,183496,2007-01-01,192802.33333333334
A,TOTAL,BA_BA,US,2007,January,208770,2007-01-01,200371.33333333334
U,TOTAL,BA_BA,US,2006,January,190873,2006-01-01,194379.66666666666
A,TOTAL,BA_BA,US,2006,January,218466,2006-01-01,206036.33333333334
U,TOTAL,BA_BA,US,2005,January,177217,2005-01-01,195518.66666666666
A,TOTAL,BA_BA,US,2005,January,203534,2005-01-01,199739.0
U,TOTAL,BA_BA,US,2025,February,440230,2025-02-01,273660.3333333333
A,TOTAL,BA_BA,US,2025,February,425244,2025-02-01,356336.0
U,TOTAL,BA_BA,US,2024,February,458672,2024-02-01,441382.0
A,TOTAL,BA_BA,US,2024,February,441493,2024-02-01,441803.0
U,TOTAL,BA_BA,US,2023,February,464904,2023-02-01,455023.0
A,TOTAL,BA_BA,US,2023,February,441899,2023-02-01,449432.0
U,TOTAL,BA_BA,US,2022,February,449408,2022-02-01,452070.3333333333
A,TOTAL,BA_BA,US,2022,February,424993,2022-02-01,438766.6666666667
U,TOTAL,BA_BA,US,2021,February,460691,2021-02-01,445030.6666666667
A,TOTAL,BA_BA,US,2021,February,432858,2021-02-01,439514.0
U,TOTAL,BA_BA,US,2020,February,323296,2020-02-01,405615.0
A,TOTAL,BA_BA,US,2020,February,303081,2020-02-01,353078.3333333333
U,TOTAL,BA_BA,US,2019,February,319377,2019-02-01,315251.3333333333
A,TOTAL,BA_BA,US,2019,February,298710,2019-02-01,307056.0
U,TOTAL,BA_BA,US,2018,February,305131,2018-02-01,307739.3333333333
A,TOTAL,BA_BA,US,2018,February,285084,2018-02-01,296308.3333333333
U,TOTAL,BA_BA,US,2017,February,277874,2017-02-01,289363.0
A,TOTAL,BA_BA,US,2017,February,259762,2017-02-01,274240.0
U,TOTAL,BA_BA,US,2016,February,257163,2016-02-01,264933.0
A,TOTAL,BA_BA,US,2016,February,240991,2016-02-01,252638.66666666666
U,TOTAL,BA_BA,US,2015,February,244207,2015-02-01,247453.66666666666
A,TOTAL,BA_BA,US,2015,February,229482,2015-02-01,238226.66666666666
U,TOTAL,BA_BA,US,2014,February,236403,2014-02-01,236697.33333333334
